track_name,main_artist,collaborator,popularity
If I Had (feat. Charlie Wilson),Don Toliver,Charlie Wilson,49
Go Down (feat. TisaKorean),Don Toliver,TisaKorean,50
4 Me (feat. Kali Uchis),Don Toliver,Kali Uchis,46
One Of Those Days (feat. Lil Yachty & with 347aidan),Zack Bia,Lil Yachty & with 347aidan,46
Wants and Needs (feat. Lil Baby),Drake,Lil Baby,73
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,Kali Uchis and Moliy,74
Just A Stranger (feat. Steve Lacy),Kali Uchis,Steve Lacy,63
Love Galore (feat. Travis Scott),SZA,Travis Scott,77
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,"Tyler, The Creator & Bootsy Collins",79
The Percocet & Stripper Joint,Future,Stripper Joint,76
Solid (feat. Drake),Young Stoner Life,Drake,64
RISE! (feat. DAISY WORLD),"Tyler, The Creator",DAISY WORLD,57
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,21 Savage,81
Money In The Grave (Drake ft. Rick Ross),Drake,Rick Ross,72
Pardon Me (feat. Future & Mike WiLL Made-It),Lil Yachty,Future & Mike WiLL Made-It,45
Hardcore (feat. Don Toliver),Zack Bia,Don Toliver,40
Trance (with Travis Scott & Young Thug),Metro Boomin,Young Thug,81
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,Villains,79
HEROES (feat. DJ Premier),Macklemore,DJ Premier,32
Can't Hold Us (feat. Ray Dalton),Macklemore,Ray Dalton,82
Me and Your Mama,Childish Gambino,Your Mama,44
Rock N Roll (feat. Kanye West & Kid Cudi),Pusha T,Kanye West & Kid Cudi,49
FULLY LOADED (feat. Future & Lil Baby),Trippie Redd,Future & Lil Baby,0
PSYCHO (feat. Future),Trippie Redd,Future,0
No Time (feat. Gunna),Playboi Carti,Gunna,62
How Could an Angel Break My Heart (with Toni Braxton),Kenny G,Toni Braxton,50
Mia & Sebastian’s Theme,Justin Hurwitz,Sebastian’s Theme,68
Day Before (with Mac Miller),Young Thug,Mac Miller,51
All The Money (with Gunna) [Bonus],Metro Boomin,Gunna,0
"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX",Travis Scott,"Future, Young Thug & M.I.A.",58
Borrowed Love (feat. Swae Lee & WizKid),Metro Boomin,Swae Lee & WizKid,61
TOP FLOOR (feat. Travis Scott),Gunna,Travis Scott,60
Up Up And Away,Juice WRLD,Away,64
Bubbly (with Drake & Travis Scott),Young Thug,Travis Scott,63
Skin and Bones,070 Shake,Bones,48
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,A$AP Rocky & Playboi Carti,62
Baby (feat. Ashanti),Aitch,Ashanti,54
Show Out (with Skepta & Pop Smoke),Kid Cudi,Pop Smoke,59
Desires (with Future),Drake,Future,62
"Come On, Let's Go (with Nigo)","Tyler, The Creator",Nigo,60
Smoke With Me,D Smoke,Me,29
Bedtime Stories (feat. The Weeknd) - From SR3MM,Rae Sremmurd,The Weeknd,47
"Party's over Now, The (Words and Music)",Noel Coward,Music,31
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,Don Toliver & with Future,82
Blue in Green (feat. John Coltrane & Bill Evans),Miles Davis,John Coltrane & Bill Evans,63
Wow Freestyle (feat. Kendrick Lamar),Jay Rock,Kendrick Lamar,62
"Bankroll (Feat. Lil Uzi Vert, Playboi Carti)",DP Beats,"Lil Uzi Vert, Playboi Carti",42
UnFazed (feat. The Weeknd),Lil Uzi Vert,The Weeknd,51
Take Shots (feat. Tory Lanez),A Boogie Wit da Hoodie,Tory Lanez,45
#1 Freak (feat. Ty Dolla $ign),Roddy Ricch,Ty Dolla $ign,45
family ties (with Kendrick Lamar),Baby Keem,Kendrick Lamar,47
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],Metro Boomin,Mustafa,0
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,J. Balvin & Tyga,71
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",Frank Ocean & Steve Lacy,72
See You Again (feat. Kali Uchis),"Tyler, The Creator",Kali Uchis,89
Hold That Heat (feat. Travis Scott),Southside,Travis Scott,57
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,21 Savage,73
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",Brent Faiyaz & Fana Hues,73
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,"Pharrell Williams, Katy Perry & Big Sean",38
"break up with your girlfriend, i'm bored",Ariana Grande,"your girlfriend, i'm bored",73
Kiss and Make Up,Dua Lipa,Make Up,52
Now & Forever,Drake,Forever,60
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),Metro Boomin,Takeoff,0
Lock On Me (with Travis Scott & Future),Metro Boomin,Future,0
Around Me (feat. Don Toliver),Metro Boomin,Don Toliver,0
Umbrella (with 21 Savage & Young Nudy),Metro Boomin,Young Nudy,0
Where Ya At (feat. Drake),Future,Drake,62
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,"The Weeknd, Wiz Khalifa & DJ Mustard",78
Having Our Way (feat. Drake),Migos,Drake,58
The World Has Turned And Left Me Here,Weezer,Me Here,53
Dirty Computer (feat. Brian Wilson),Janelle Monáe,Brian Wilson,36
Pussy & Millions (feat. Travis Scott),Drake,Travis Scott,69
R.I.C.O. (feat. Drake),Meek Mill,Drake,62
All Bad (feat. Lil Uzi Vert),Future,Lil Uzi Vert,51
Ain't Livin Right (feat. Gunna),Future,Gunna,54
Tony Montana (feat. Drake),Future,Drake,44
Overdue (with Travis Scott),Metro Boomin,Travis Scott,76
REEL IT IN (feat. Gucci Mane) - Remix,Aminé,Gucci Mane,41
Flex Up (feat. Future & Playboi Carti),Lil Yachty,Future & Playboi Carti,72
HOTEL LOBBY (Unc & Phew),Quavo,Phew,70
Switching Lanes (feat. Playboi Carti),Pi’erre Bourne,Playboi Carti,57
10 Freaky Girls (with 21 Savage),Metro Boomin,21 Savage,73
One Kiss (with Dua Lipa),Calvin Harris,Dua Lipa,78
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,RIHANNA.,75
To The Bone (feat. YoungBoy Never Broke Again),Quavo,YoungBoy Never Broke Again,57
Ain’t Safe (feat. Don Toliver),Trippie Redd,Don Toliver,0
Lift Off,Labrinth,Off,25
Mood Swings (feat. Lil Tjay),Pop Smoke,Lil Tjay,74
Sunday (feat. Frank Ocean),Earl Sweatshirt,Frank Ocean,60
"FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)","Tyler, The Creator","Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis",64
Temptations (feat. Kid Cudi),Ty Dolla $ign,Kid Cudi,38
